content_class,style_class,content_index,style_index,status,rejection_reason,image_path
cat,dog,3497,866,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0014.png
cat,dog,4271,1832,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0015.png
cat,dog,1156,3579,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0016.png
cat,dog,4400,3915,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0017.png
cat,dog,3246,97,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0018.png
cat,dog,3991,3792,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_cat_style_dog_0019.png
dog,cat,715,3864,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0000.png
dog,cat,2230,684,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0001.png
dog,cat,220,4776,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0002.png
dog,cat,2326,830,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0003.png
dog,cat,1547,1287,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0004.png
dog,cat,1567,1552,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0005.png
dog,cat,4824,3715,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0006.png
dog,cat,2105,3455,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0007.png
dog,cat,747,2009,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0008.png
dog,cat,4343,1339,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0009.png
dog,cat,2706,2399,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0010.png
dog,cat,2236,4900,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0011.png
dog,cat,1019,3776,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0012.png
dog,cat,313,2484,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0013.png
dog,cat,99,2141,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0014.png
dog,cat,4989,3992,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0015.png
dog,cat,4905,2027,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0016.png
dog,cat,535,2348,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0017.png
dog,cat,2950,1637,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0018.png
dog,cat,520,777,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_dog_style_cat_0019.png
deer,horse,323,3337,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0000.png
deer,horse,2285,271,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0001.png
deer,horse,394,4926,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0002.png
deer,horse,703,3117,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0003.png
deer,horse,2037,1803,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0004.png
deer,horse,297,3093,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0005.png
deer,horse,1387,3343,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0006.png
deer,horse,1549,4492,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0007.png
deer,horse,4745,3669,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0008.png
deer,horse,1249,2162,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0009.png
deer,horse,4731,3408,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0010.png
deer,horse,3018,4902,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0011.png
deer,horse,1511,1769,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0012.png
deer,horse,2131,2855,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0013.png
deer,horse,131,2088,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0014.png
deer,horse,1756,4415,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0015.png
deer,horse,4264,92,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0016.png
deer,horse,965,3308,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0017.png
deer,horse,4128,3640,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0018.png
deer,horse,209,275,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_deer_style_horse_0019.png
horse,deer,2470,4745,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0000.png
horse,deer,4038,3338,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0001.png
horse,deer,2792,4287,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0002.png
horse,deer,1367,4615,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0003.png
horse,deer,2034,2179,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0004.png
horse,deer,927,1342,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0005.png
horse,deer,3519,1487,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0006.png
horse,deer,357,2809,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0007.png
horse,deer,1301,2703,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0008.png
horse,deer,48,2180,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0009.png
horse,deer,2219,1387,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0010.png
horse,deer,1769,4382,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0011.png
horse,deer,2258,2293,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0012.png
horse,deer,2763,1799,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0013.png
horse,deer,4886,359,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0014.png
horse,deer,1848,3480,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0015.png
horse,deer,3787,1930,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0016.png
horse,deer,2821,4601,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0017.png
horse,deer,4726,2624,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0018.png
horse,deer,4486,1122,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_horse_style_deer_0019.png
monkey,ship,1909,751,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0000.png
monkey,ship,1424,2547,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0001.png
monkey,ship,4447,4588,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0002.png
monkey,ship,2776,1014,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0003.png
monkey,ship,773,4381,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0004.png
monkey,ship,3624,58,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0005.png
monkey,ship,3405,3564,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0006.png
monkey,ship,550,3115,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0007.png
monkey,ship,2573,3661,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0008.png
monkey,ship,2629,481,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0009.png
monkey,ship,167,3837,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0010.png
monkey,ship,2426,2550,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0011.png
monkey,ship,1544,2492,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0012.png
monkey,ship,3609,1791,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0013.png
monkey,ship,4312,2090,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0014.png
monkey,ship,1834,4316,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0015.png
monkey,ship,4544,1981,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0016.png
monkey,ship,401,4437,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0017.png
monkey,ship,1714,2528,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0018.png
monkey,ship,4725,1099,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_monkey_style_ship_0019.png
ship,monkey,3123,4235,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0000.png
ship,monkey,2547,1942,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0001.png
ship,monkey,4179,2596,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0002.png
ship,monkey,448,2262,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0003.png
ship,monkey,3824,3310,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0004.png
ship,monkey,4219,1717,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0005.png
ship,monkey,4183,3622,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0006.png
ship,monkey,1723,3769,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0007.png
ship,monkey,2282,2329,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0008.png
ship,monkey,3576,4931,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0009.png
ship,monkey,4847,4046,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0010.png
ship,monkey,1466,698,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0011.png
ship,monkey,164,1631,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0012.png
ship,monkey,2833,2718,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0013.png
ship,monkey,1321,1252,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0014.png
ship,monkey,1253,413,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0015.png
ship,monkey,822,2917,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0016.png
ship,monkey,342,2426,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0017.png
ship,monkey,1888,4808,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0018.png
ship,monkey,2924,3609,accepted,,/content/drive/MyDrive/task1/results/cue_conflicts/shape_ship_style_monkey_0019.png
